network_packet_size,protocol_type,login_attempts,session_duration,encryption_used,ip_reputation_score,failed_logins,browser_type,unusual_time_access,attack_detected
599,1,4,492.9832634426563,1,0.606818080396889,1,1,0,1
472,1,3,1557.9964611204384,1,0.3015689675960893,0,2,0,0
629,1,3,75.04426166420741,1,0.7391643279163831,2,0,0,1
804,2,4,601.2488351708328,1,0.1232671757524846,0,4,0,1
453,1,5,532.5408884201419,0,0.0548738567431703,1,2,0,0
453,2,5,380.4715502453134,0,0.4224858607066699,2,0,1,0
815,0,4,728.1071646972356,0,0.4137719285892984,1,0,0,1
653,1,3,12.5999060098958,1,0.0977193658576949,3,0,1,1
407,2,6,580.7219253670751,1,0.1228937389064628,3,2,0,1
406,2,9,191.0528369326706,1,0.3397112713433893,1,1,0,1
117,1,4,833.4889649491395,1,0.4732919047923998,2,4,0,1
387,0,6,292.1361960073892,1,0.2549124511362793,3,0,0,1
297,1,8,1421.414371761036,0,0.345367552273892,3,2,0,1
318,1,5,504.98866997657433,0,0.3942314568896387,1,4,0,1
217,0,2,883.6175678484254,1,0.3101131570512104,0,0,0,0
793,1,3,122.1894142089281,0,0.3693246493280864,2,2,0,0
513,1,3,654.5261426459776,0,0.4970295435549451,1,2,0,0
215,1,8,317.0788581057768,0,0.461950842242767,2,0,0,1
391,1,5,93.17112499822254,0,0.536245189457405,2,2,0,0
522,1,4,211.59584253834697,0,0.1078985576055601,3,2,0,1
575,1,3,3286.221727767748,1,0.4204711850467863,0,0,0,0
379,2,2,214.98212232301017,0,0.7863154442710675,2,0,0,1
441,1,7,604.9615522886485,0,0.3360318477936075,0,2,0,1
379,1,1,447.62330730772806,1,0.0993898185618982,0,0,0,0
870,2,2,674.2716307687525,1,0.2720868405623606,1,0,0,1
288,0,2,1039.10118603804,0,0.110269438624984,3,0,0,1
255,1,2,268.71323796747225,0,0.5173361768348047,1,0,1,0
108,1,7,3325.3086894656926,0,0.0795093219361312,2,2,0,1
234,1,5,1608.365096858205,1,0.6459042598252172,4,2,0,1
539,1,4,361.9425945829811,1,0.3087899599206534,0,0,0,0
534,1,4,888.2555882449734,0,0.0367521363575246,3,0,0,1
476,1,4,460.1784563437431,1,0.3974194615917665,2,1,0,0
204,1,4,899.8403029798167,1,0.3373211395417786,1,0,0,0
356,1,2,1401.0372662699012,1,0.6729768279913647,1,0,0,1
407,1,7,432.6976830475844,1,0.081769711383674,3,1,1,1
711,1,5,1282.4285713839413,0,0.207445483534184,2,1,0,1
568,1,6,365.73555486698257,0,0.5343683322456065,2,4,0,1
147,1,1,1062.659149730583,0,0.2633726317268964,1,1,0,0
422,1,5,415.6167950841102,0,0.4663241681421678,1,0,0,0
364,1,5,1274.1942392067006,0,0.8708336888298047,2,2,0,1
706,1,4,2107.19716665885,1,0.4658562587345757,2,1,1,0
686,1,3,568.5288982396605,1,0.6136432536281438,1,2,0,1
332,1,2,808.6446595055914,0,0.1742454820703902,2,0,0,0
438,1,4,415.7067630688467,1,0.2172346369333444,1,0,0,0
566,2,5,830.483464807917,1,0.6028501934467423,1,2,0,1
695,2,1,989.8897960942786,0,0.259418552130799,2,1,0,1
404,1,9,1622.860870864447,1,0.2356755502429507,2,0,0,1
462,1,5,1541.3967703070944,0,0.0400191829191788,2,0,0,0
278,1,8,354.30271017360786,0,0.5116026457176248,2,1,0,1
260,2,6,765.3837210156122,0,0.5402342873210285,1,0,0,0
700,1,6,1426.7642254528307,1,0.1997666308396278,4,0,0,1
572,1,10,1012.2699508672414,1,0.1644573479924417,1,0,0,1
370,1,1,1105.3806022240433,0,0.4086537168997098,2,0,0,1
572,1,6,1317.8935947961731,0,0.2053917876576297,0,1,0,0
807,1,3,1455.576779684165,0,0.6271547548524079,0,4,0,1
492,1,4,347.91805418370086,0,0.2638643281334985,1,1,0,1
812,2,7,1217.9139195544108,1,0.651720998102494,2,0,0,1
517,1,5,39.54966375410118,1,0.3360337531065149,1,1,0,1
440,2,5,60.12054049063278,1,0.3466523484514337,1,0,0,0
518,2,7,195.4101798830058,0,0.4472088363848736,0,0,0,1
456,1,5,108.46893562306865,1,0.1097625098489018,2,2,0,0
571,1,5,1101.401768015545,1,0.4818222137601502,2,0,1,0
795,1,6,1614.1886098890527,0,0.1796520284230282,2,0,0,1
338,2,2,431.3095534963739,0,0.3254855696413191,1,1,0,0
683,1,5,312.3613276488573,0,0.3415719127620866,3,2,0,1
565,1,8,127.51964209032084,0,0.1981503877084024,2,0,1,1
394,2,4,190.7796533194509,0,0.3840149947090269,1,0,0,1
602,1,4,115.82192978072582,0,0.2826995354274423,1,0,1,1
519,1,3,418.7535920670476,0,0.5074718561537545,2,2,1,0
693,1,4,149.39682434919536,1,0.7465329921047918,2,1,0,1
359,1,4,413.2077481798984,0,0.3961354801328169,3,0,0,1
434,2,7,1524.0632797670812,1,0.2653750876483886,0,2,0,1
421,1,7,850.2462962444683,1,0.7363071667506592,3,3,0,1
207,2,4,869.5488497403968,0,0.1801952291959206,3,2,0,1
559,1,3,1336.4809719223258,0,0.2804595050221319,1,3,0,0
552,1,2,33.65280380665794,0,0.3119724983066272,0,2,0,0
501,2,3,1265.8898099183805,0,0.359586097716788,2,2,0,0
453,1,5,174.87198977443362,0,0.4396989559319573,2,2,0,0
216,1,6,339.6289336863756,0,0.792908723614886,0,1,0,1
415,1,2,294.5849672223419,0,0.2046812710873537,3,0,0,1
431,1,2,89.33142787527953,0,0.0213026825741628,2,2,0,0
339,1,3,152.6475054745366,1,0.40868098195241,2,2,0,0
467,0,1,2505.1902247693133,0,0.2099886202093015,2,0,0,0
580,0,3,733.5772844904812,1,0.2422452498276949,2,0,0,0
551,1,5,1344.486704150752,1,0.2153356389185488,0,2,0,0
485,1,6,93.46336107579046,1,0.4063312275073519,2,0,0,0
116,1,4,1080.449674152331,0,0.4623687098674023,0,1,0,0
494,1,6,2155.276873158772,0,0.4082261331463432,1,2,0,0
512,1,6,704.422488537655,1,0.2212732586710722,1,0,1,0
992,1,2,761.8596818225025,1,0.0425389889151891,1,2,0,0
461,1,3,1634.686997948409,1,0.0902244146247547,1,1,0,1
560,1,5,910.2548697823172,1,0.293848130472684,2,0,0,0
493,2,1,4282.643311411911,1,0.4271570441204733,1,4,0,0
728,1,9,1493.9483851057782,1,0.3440707492302625,0,0,0,1
658,1,3,364.2314264843896,1,0.4228182535278166,1,0,0,0
318,1,2,1716.8731834652806,1,0.1735475969680256,1,1,0,0
219,0,4,47.6720891871051,1,0.0839245230551094,3,2,1,1
617,1,5,2077.8093270932563,0,0.756641279217048,1,2,0,1
938,1,5,181.63190836745449,0,0.3289525285764282,2,2,0,0
301,1,6,183.7197582739341,0,0.2639313835435253,2,2,0,0
519,2,8,2042.7649588398008,0,0.2337753258585817,3,0,0,1
399,2,6,1139.689059842402,0,0.7173627311559833,1,0,0,1
189,1,1,43.94449986840703,0,0.324800802082674,2,0,0,0
513,0,3,803.0822652641986,0,0.1453538307828547,0,0,1,0
594,1,9,1113.5448828433073,0,0.2015363761915499,1,2,0,1
316,2,3,420.8242964449342,1,0.1010497118158562,0,0,0,1
809,2,4,42.53231749395693,0,0.1840217502247818,1,4,0,1
343,1,5,1414.7818469631654,0,0.1099788946865137,3,1,1,1
435,1,4,679.6785160847335,0,0.251661490626902,3,3,0,1
662,1,1,1185.7797753569248,0,0.506076780728524,2,0,0,0
253,1,1,897.9900818952359,1,0.2380386819236216,4,4,0,1
545,1,4,455.88912093711633,0,0.2624537715319337,3,4,0,1
761,0,1,959.6300158997273,0,0.1775413015405739,2,0,0,0
178,1,3,11.890700511572373,0,0.2863406889126293,1,1,1,0
536,2,3,332.0943080741142,1,0.7033341839914414,0,2,0,1
551,2,3,1203.5341894452372,1,0.1178914973329318,2,0,0,0
656,1,5,1151.9651057221577,0,0.3452066461644786,1,0,0,0
252,2,4,1747.1974055008438,0,0.3064959364798829,0,2,0,1
235,1,3,755.434368901311,0,0.2509659861114192,3,0,0,1
559,1,3,652.6355940282597,0,0.1325266852429517,2,0,0,0
363,0,6,1207.0821332288124,0,0.3510400422582782,2,0,0,0
546,1,5,942.2728647931104,0,0.3436559596851325,1,0,0,0
558,2,9,494.07664627087496,1,0.3144316341041462,2,3,0,1
357,1,9,72.91081297639256,1,0.1995373166844637,2,1,0,1
873,2,3,107.46754869926538,1,0.0512262805867224,2,0,0,0
594,1,3,97.24720087836856,0,0.4076859456226729,4,0,0,1
631,1,6,138.5095628371252,0,0.100603632546575,1,0,0,0
305,1,6,1577.7168112486886,0,0.346916590070728,1,1,0,0
731,2,5,1554.6376149090595,1,0.2549226275413593,2,2,0,1
335,1,3,750.9414290852901,1,0.12309678522027,3,0,0,1
582,2,5,1772.5689478516597,0,0.2328323308098431,1,0,0,0
664,1,8,417.1159065866958,0,0.3710642290728093,2,1,0,1
450,2,1,508.49628287021335,0,0.2577704856444119,2,0,0,0
349,1,8,645.4298805334846,0,0.242800051494813,1,0,0,1
322,1,1,637.8327848930265,0,0.1999112691064991,1,0,0,0
484,1,5,1223.8102732316374,0,0.3957542090094353,1,0,1,1
568,0,5,1053.3158665799629,1,0.1891346709377445,2,1,0,1
555,1,5,208.93902977348895,0,0.551708412894967,1,0,0,0
665,1,6,640.9945335485618,1,0.5003713391880107,3,2,0,1
502,1,12,1249.7694954987144,1,0.2982140196718431,1,2,0,1
790,2,4,6.171441467446689,1,0.1969726328712207,2,2,0,1
447,2,3,257.4377388281377,0,0.0676815431149165,0,2,1,0
1044,1,4,510.9845736621589,0,0.5004393941360112,2,1,0,0
625,1,1,1491.6272442087734,0,0.2292396077650228,3,0,0,1
285,1,7,130.94982959554818,1,0.2546566696903113,2,0,1,1
596,1,2,497.02132412144806,0,0.1179179164359383,2,0,0,0
594,1,4,622.3103994578047,0,0.8110277884368354,2,0,0,1
485,2,4,553.4633422524302,1,0.0914983771525435,2,0,0,0
330,1,2,122.12443528436629,0,0.5509077290494483,0,1,0,0
197,1,7,103.8028280833901,0,0.444103086563627,2,1,0,1
410,1,5,111.65696274923886,0,0.3910043614883334,1,1,0,0
671,1,4,1472.5326581431882,1,0.1093543451809174,3,4,0,1
542,2,5,16.10939607653426,0,0.3107330737649837,1,2,1,0
250,1,4,180.92309581506888,0,0.1752762514727518,1,0,0,0
534,1,7,2496.887261332685,1,0.2451322964747888,1,0,0,1
323,2,5,29.59799365313628,1,0.2776327619502889,1,0,0,0
530,1,5,391.9421775186524,1,0.3016053857217878,2,2,0,0
511,1,2,131.1458838080163,0,0.1389147899939635,2,0,0,0
271,0,3,667.3328621639511,1,0.0863630197646222,3,0,0,1
571,1,5,330.69417239531657,1,0.0989605835813575,0,2,0,0
612,2,3,187.5349141621204,1,0.5341956729663283,2,3,0,0
710,1,2,333.75180613210904,1,0.3712473480414219,3,2,0,1
224,1,5,819.5606827516343,1,0.2634839803106942,2,1,0,0
312,1,4,1657.8967328136305,0,0.2363722399848674,1,0,0,0
603,1,8,2044.817851142252,0,0.6514337877152981,3,0,0,1
602,1,7,422.2788269064481,0,0.2150948601146794,3,1,0,1
603,1,1,2988.9867876731164,1,0.2760896524741578,2,0,0,0
1270,1,5,1031.5238151002425,1,0.7746157586048802,1,0,0,1
614,1,7,700.2644400491948,0,0.1488149454951986,3,0,0,1
727,0,2,945.454259300091,0,0.6518286335567869,1,0,0,1
630,0,3,441.8813257762719,0,0.3379403701696052,2,1,0,0
436,1,2,706.0315237925229,0,0.3594574510632399,0,0,0,0
651,1,7,316.6108122061147,0,0.2730883183996028,2,0,0,1
452,2,4,231.3057526954721,0,0.1758898600813458,3,3,0,1
402,2,6,1274.8733430770328,0,0.4186859064025884,1,0,0,1
516,1,7,132.04816019596333,1,0.2569158584334239,2,0,1,1
962,2,3,196.0975201486787,0,0.5667834471156061,1,0,1,0
126,1,2,1118.9978077851902,0,0.2513053111036512,1,0,0,1
405,2,5,1225.5001480117148,0,0.7302739057014698,0,0,0,1
717,0,3,237.97180227640533,0,0.6146206048540265,2,4,0,1
512,1,2,60.71129061945858,0,0.4276029431872097,3,0,1,1
284,1,5,145.56345742064204,0,0.4726292422226099,1,2,0,0
356,1,5,1117.1621572909544,0,0.2412143356950259,1,0,0,0
635,1,10,1501.823588577862,0,0.0724900815297521,3,2,0,1
353,2,5,386.3809840655401,0,0.4272224955366141,0,0,0,0
509,1,5,62.77560611350965,0,0.6633916285008086,2,0,0,1
369,1,4,194.48929953258573,1,0.4417840130620103,1,0,0,0
928,1,5,3117.1111237301275,0,0.2192378797327277,2,0,0,0
626,1,6,149.326854401643,1,0.4875925572606101,1,0,0,1
94,1,3,72.08595471285292,0,0.1673003440945502,2,0,0,0
537,2,4,1231.45768962121,0,0.3175020689038164,0,0,0,0
670,2,4,612.2670042320594,1,0.6324729460357419,2,0,0,1
341,1,4,475.1521218829639,1,0.1142464176544391,1,0,0,1
673,2,5,441.90985118413903,0,0.2457649107763063,3,0,0,1
259,1,3,213.49648104766663,0,0.5920401183622336,3,2,0,1
433,1,3,1472.40752574175,1,0.4633481759121942,3,1,1,1
405,1,10,143.89705935042394,0,0.5711969542396962,1,0,0,1
369,1,3,610.8665546296135,0,0.3074823935664694,2,2,0,0
853,2,4,943.877265223019,0,0.3972464248148962,3,2,0,1
247,1,5,771.5329877113128,1,0.1275830500381217,2,0,0,1
924,2,6,1667.7557175305817,0,0.2884500333340842,2,0,0,0
706,1,4,363.7989546346428,0,0.248932846360351,2,2,1,0
196,1,3,789.8782430060236,0,0.2640141983689803,1,0,0,0
753,1,2,713.915926948315,0,0.5568005749245504,2,1,0,0
358,1,2,1866.457231583724,1,0.4477380834762792,1,3,1,0
588,2,2,850.8558379069228,1,0.2079475511776274,4,0,0,1
654,1,6,441.9142581175928,1,0.0991734814552741,0,1,0,0
314,1,6,1494.500082454998,1,0.0805571353825306,3,3,0,1
488,2,5,537.9982787042743,0,0.2962939229915175,0,0,0,0
64,1,4,604.296028734614,0,0.245609204846883,1,0,0,1
295,1,4,698.3541920212049,1,0.4533878446573279,4,2,0,1
449,1,2,311.812813564501,0,0.3014476018127252,1,0,0,0
250,1,4,1025.6623175854356,0,0.1431585535014474,2,0,0,0
826,2,9,82.62453258190554,0,0.3901416647324924,1,0,0,1
213,2,3,1625.1259879496724,0,0.2948380134293726,1,0,0,0
411,1,4,1123.6896964634686,0,0.080983718175502,1,0,0,0
788,1,5,205.35313763445285,1,0.3051170083506936,2,1,1,0
